image_name,segmentation_method,object_id,centroid_y_px,centroid_x_px,area_px,perimeter_px,mean_intensity,equivalent_radius_px,circularity
6d-21-4x - 2,ConvPaint,1,87.57013281503077,1661.4701004211208,15435.0,482.3746750430835,0.1846112608909607,70.09360237030774,0.8335804102085465
6d-21-4x - 2,ConvPaint,2,92.59109532914505,784.5875443867795,14644.0,459.58787847867995,0.19106560945510864,68.27393333678258,0.871229260138669
6d-21-4x - 2,ConvPaint,3,113.42313972474925,1192.2249241894099,17148.0,504.75945135393374,0.18312981724739075,73.88083600149393,0.8457741738502924
6d-21-4x - 2,ConvPaint,4,116.5812831644959,325.9209479015919,16584.0,497.58787847867995,0.19104713201522827,72.6557028214027,0.84170434447437
6d-21-4x - 2,ConvPaint,5,495.45316027088035,328.93926354401805,14176.0,462.5584412271571,0.19375692307949066,67.1741091979746,0.8325883830427686
6d-21-4x - 2,ConvPaint,6,511.7555511367402,1620.6542718897065,15087.0,480.75945135393374,0.19742096960544586,69.29892677996428,0.820270499282926
6d-21-4x - 2,ConvPaint,7,539.1038122152373,767.2043947171118,17339.0,503.2447327281723,0.19558922946453094,74.29115099754982,0.8603505380538906
6d-21-4x - 2,ConvPaint,8,554.5249697132858,1213.9713285771975,14858.0,471.2447327281724,0.19114995002746582,68.77098435327767,0.8407699866412179
6d-21-4x - 2,ConvPaint,9,944.5315464442605,1211.7296110014643,15707.0,492.6173157302028,0.1945112645626068,70.70850997078641,0.8133617798605505
6d-21-4x - 2,ConvPaint,10,968.1106563997631,1640.279252598137,18571.0,562.5584412271571,0.18863694369792938,76.88519295884727,0.7374114260653348
6d-21-4x - 2,ConvPaint,11,981.1218205118248,320.5099607782222,25751.0,619.3279938488575,0.16908706724643707,90.53616890016274,0.8436504479304618
6d-21-4x - 2,ConvPaint,12,984.7839674865111,753.2147712143508,14271.0,459.445742854949,0.18659809231758118,67.39881590746886,0.8495634240118092
