image,iou,segmentation_file,roi_file
6d-11-4x - 1,0.9006456779618599,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_6d_1_segmentations\6d-11-4x - 1_labels.tif,C:\Users\sophi\semesterproject2\data\raw\Junho\6d_molde\4x\1\ROI\6d-11-4x - 1.zip
6d-12-4x - 1,0.7843532016464463,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_6d_1_segmentations\6d-12-4x - 1_labels.tif,C:\Users\sophi\semesterproject2\data\raw\Junho\6d_molde\4x\1\ROI\6d-12-4x - 1.zip
6d-13-4x - 1,0.9171376192314055,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_6d_1_segmentations\6d-13-4x - 1_labels.tif,C:\Users\sophi\semesterproject2\data\raw\Junho\6d_molde\4x\1\ROI\6d-13-4x - 1.zip
