image_name,segmentation_method,object_id,centroid_y_px,centroid_x_px,area_px,perimeter_px,mean_intensity,equivalent_radius_px,circularity,segmentation_file
Condição 1 - 1_.jpg,ConvPaint,1,708.1079594790159,719.1899937978086,24185.0,1567.0773439350246,0.31029394268989563,87.74009686201046,0.12375851572215807,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_aspirina_1_sparse_kbO_segmentations\Condição 1 - 1__labels.tif
Condição 1 - 1_.jpg,ConvPaint,2,252.1478528991502,324.70688877190344,26594.0,1499.2600640985715,0.2910013794898987,92.00615801766602,0.14867555994268203,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_aspirina_1_sparse_kbO_segmentations\Condição 1 - 1__labels.tif
Condição 1 - 1_.jpg,ConvPaint,3,320.7986634437651,1172.7850846011659,28132.0,1558.331131910437,0.27898508310317993,94.62924346164034,0.1455764011521984,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_aspirina_1_sparse_kbO_segmentations\Condição 1 - 1__labels.tif
Condição 1 - 1_.jpg,ConvPaint,4,792.5901418236808,1566.8583398046349,24467.0,1488.7159082212875,0.29125314950942993,88.25014439228305,0.13872889516742068,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_aspirina_1_sparse_kbO_segmentations\Condição 1 - 1__labels.tif
Condição 1 - 1_.jpg,ConvPaint,5,745.3731474019831,1147.9233383553485,28541.0,1302.0052301026326,0.2772955000400543,95.31464977416415,0.21156975932717717,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_aspirina_1_sparse_kbO_segmentations\Condição 1 - 1__labels.tif
Condição 1 - 1_.jpg,ConvPaint,6,284.8740199335548,741.9533111849391,22575.0,1159.1879502661795,0.2887945771217346,84.7693675840458,0.21112025754070446,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_aspirina_1_sparse_kbO_segmentations\Condição 1 - 1__labels.tif
Condição 1 - 1_.jpg,ConvPaint,7,664.4885042046877,275.53667919126855,22356.0,1806.3504678941933,0.3206700086593628,84.35719184233686,0.0860993619628296,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_aspirina_1_sparse_kbO_segmentations\Condição 1 - 1__labels.tif
Condição 1 - 1_.jpg,ConvPaint,8,352.1573942343692,1592.3708348932985,26710.0,1970.5453813665602,0.2819186747074127,92.20659987207559,0.08643922609872881,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_aspirina_1_sparse_kbO_segmentations\Condição 1 - 1__labels.tif
Condição 1 - 2.jpg,ConvPaint,1,732.4033342177412,1531.1562306535775,22614.0,1612.3971490884192,0.3080384135246277,84.84255869644811,0.1093058003786311,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_aspirina_1_sparse_kbO_segmentations\Condição 1 - 2_labels.tif
Condição 1 - 2.jpg,ConvPaint,2,279.1187773999263,1138.1325029704592,24407.0,1374.6559876977153,0.2984625995159149,88.14187082248583,0.16230661073527106,C:\Users\sophi\napari-organoid-segmentation\reports\segmentations\organoid_measurements_aspirina_1_sparse_kbO_segmentations\Condição 1 - 2_labels.tif
